,CountryCode,question_code,question_label,answer,SUM(response),percent_all
7543,Austria,c4_a,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T when looking for a job? *",Yes,378.0,0.41
7544,Austria,c4_a,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T when looking for a job? *",No,2017.0,2.17
7545,Austria,c4_a,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T when looking for a job? *",Don`t know,160.0,0.17
7546,Belgium,c4_a,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T when looking for a job? *",Yes,305.0,0.33
7547,Belgium,c4_a,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T when looking for a job? *",No,2449.0,2.63
7548,Belgium,c4_a,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T when looking for a job? *",Don`t know,147.0,0.16
7549,Bulgaria,c4_a,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T when looking for a job? *",Yes,166.0,0.18
7550,Bulgaria,c4_a,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T when looking for a job? *",No,732.0,0.79
7551,Bulgaria,c4_a,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T when looking for a job? *",Don`t know,130.0,0.14
7552,Cyprus,c4_a,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T when looking for a job? *",Yes,34.0,0.04
7553,Cyprus,c4_a,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T when looking for a job? *",No,115.0,0.12
7554,Cyprus,c4_a,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T when looking for a job? *",Don`t know,15.0,0.02
7555,Czech_Republic,c4_a,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T when looking for a job? *",Yes,236.0,0.25
7556,Czech_Republic,c4_a,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T when looking for a job? *",No,2099.0,2.26
7557,Czech_Republic,c4_a,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T when looking for a job? *",Don`t know,134.0,0.14
7558,Germany,c4_a,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T when looking for a job? *",Yes,2790.0,3.0
7559,Germany,c4_a,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T when looking for a job? *",No,16538.0,17.77
7560,Germany,c4_a,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T when looking for a job? *",Don`t know,924.0,0.99
7561,Denmark,c4_a,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T when looking for a job? *",Yes,105.0,0.11
7562,Denmark,c4_a,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T when looking for a job? *",No,1534.0,1.65
7563,Denmark,c4_a,"During the last 12 months, have you personally felt discriminated against because of being L, G, B or T when looking for a job? *",Don`t know,72.0,0.08
